Sucursal,Producto,Cantidad,Precio_Unitario,Monto_Total,Fecha_Hora
Sucursal A,Pan,3.0,989.78,2969.34,2023-01-04 17:17:12
Sucursal A,Aceite,4.0,563.57,2254.28,2023-01-03 14:34:53
Sucursal B,Galletas,5.0,1339.04,6695-02-01 00:00:00,invalid-date
Sucursal B,Galletas,4.0,1180.5,4722.0,2023-01-05 02:34:24
Sucursal D,Pan,3.0,2194.99,6584.97,2023-01-07 18:05:40
Sucursal D,Pan,5.0,1086.36,5431-08-01 00:00:00,2023-01-10 02:40:03
Sucursal B,Atún,3.0,2470.44,7411.32,2023-01-06 23:36:37
Sucursal C,Leche,3.0,1210.54,3631.62,2023-01-07 19:31:33
Sucursal B,Aceite,2.0,826.8,1653.6,2023-01-10 13:02:55
Sucursal B,Galletas,3.0,2185-07-01 00:00:00,6557-01-01 00:00:00,2023-01-02 16:35:10
Sucursal C,Pan,2.0,2326.27,4652.54,2023-01-15 02:24:22
Sucursal D,Galletas,4.0,785.74,3142.96,2023-01-04 17:20:26
Sucursal D,Aceite,4.0,1223.99,4895.96,2023-01-04 16:35:02
Sucursal A,Leche,2.0,2084.16,4168.32,2023-01-11 13:55:33
Sucursal D,Aceite,3.0,2442.16,7326.48,2023-01-01 14:41:17
Sucursal C,Atún,,723.1,2169-03-01 00:00:00,2023-01-11 21:16:08
Sucursal C,Aceite,2.0,1515.36,3030.72,2023-01-03 21:59:19
Sucursal B,Leche,3.0,2025-02-01 00:00:00,6075-06-01 00:00:00,2023-01-14 10:12:39
Sucursal C,Fideos,1.0,723.74,723.74,2023-01-10 03:27:05
Sucursal A,Leche,5.0,2393-09-01 00:00:00,11969.5,2023-01-03 09:53:48
Sucursal B,Leche,4.0,2393-07-01 00:00:00,9574-08-01 00:00:00,2023-01-05 08:11:36
Sucursal B,Aceite,2.0,1925-09-01 00:00:00,3851-08-01 00:00:00,2023-01-11 00:25:47
Sucursal D,,2.0,949.39,1898.78,2023-01-09 12:56:56
Sucursal A,Pan,1.0,957.88,957.88,2023-01-02 02:17:57
Sucursal D,Leche,5.0,764.62,3823-01-01 00:00:00,2023-01-15 04:39:24
Sucursal D,Leche,1.0,693.86,693.86,2023-01-11 19:06:19
Sucursal A,Galletas,1.0,621.23,621.23,2023-01-09 13:39:29
Sucursal D,Leche,4.0,866.98,3467.92,2023-01-12 13:30:01
Sucursal A,Pan,5.0,2172-06-01 00:00:00,10860.3,2023-01-03 14:19:46
Sucursal D,Fideos,,2229-03-01 00:00:00,4458-06-01 00:00:00,2023-01-02 18:09:27
Sucursal D,Arroz,4.0,1893.18,7572.72,2023-01-14 19:45:30
Sucursal B,Pan,5.0,1971.47,9857.35,2023-01-02 19:30:37
Sucursal B,Pan,5.0,660.22,3301-01-01 00:00:00,2023-01-05 20:15:03
Sucursal D,,5.0,992.43,4962.15,2023-01-15 18:19:57
Sucursal C,Arroz,2.0,1839.45,3678-09-01 00:00:00,2023-01-08 23:01:31
Sucursal C,,3.0,2358-04-01 00:00:00,7074-12-01 00:00:00,2023-01-03 02:15:33
Sucursal A,Pan,5.0,926.31,4631.55,2023-01-07 18:29:25
Sucursal B,Arroz,3.0,815.49,2446.47,2023-01-14 12:26:50
Sucursal A,Galletas,5.0,1098.76,5493-08-01 00:00:00,2023-01-03 20:20:36
Sucursal A,Galletas,5.0,810.9,4054-05-01 00:00:00,2023-01-08 04:08:05
Sucursal C,Aceite,4.0,1002.24,4008.96,2023-01-02 13:35:33
Sucursal A,Arroz,2.0,1774.23,3548.46,2023-01-07 16:36:00
Sucursal A,Pan,1.0,2390-01-01 00:00:00,2390-01-01 00:00:00,2023-01-04 22:49:49
Sucursal B,Fideos,2.0,583.66,1167.32,2023-01-10 04:25:29
Sucursal C,Leche,2.0,1833.87,3667.74,2023-01-09 22:01:57
Sucursal B,Leche,,2452.41,4904.82,2023-01-05 15:08:25
Sucursal C,Atún,4.0,2104.47,8417.88,2023-01-07 08:34:04
Sucursal A,Atún,4.0,944.87,3779.48,2023-01-12 12:08:45
Sucursal B,Pan,2.0,1296.93,2593.86,2023-01-08 02:17:52
Sucursal D,Galletas,5.0,1162.3,5811-05-01 00:00:00,2023-01-02 00:04:42
Sucursal C,Pan,1.0,1693.14,1693.14,2023-01-09 17:22:38
Sucursal A,Fideos,,880.16,4400-08-01 00:00:00,2023-01-02 09:51:25
Sucursal B,Arroz,4.0,639.95,2559-08-01 00:00:00,2023-01-09 08:21:19
Sucursal C,Aceite,3.0,1833.79,5501.37,2023-01-09 06:00:55
Sucursal D,Galletas,4.0,1854.64,7418.56,2023-01-05 13:22:41
Sucursal A,Arroz,3.0,920.37,2761-11-01 00:00:00,2023-01-15 09:51:56
Sucursal B,Aceite,4.0,2087.47,8349.88,2023-01-05 10:51:08
Sucursal C,Pan,2.0,1845.59,3691.18,2023-01-06 18:51:45
Sucursal D,Aceite,1.0,1410.83,1410.83,2023-01-15 07:21:09
Sucursal B,Leche,1.0,2285.32,2285.32,2023-01-03 22:05:29
Sucursal D,Pan,5.0,998.4,4992.0,2023-01-04 06:41:47
Sucursal C,Atún,4.0,1725.3,6901-02-01 00:00:00,2023-01-13 14:03:16
Sucursal B,Galletas,4.0,1400.14,5600.56,2023-01-07 08:01:39
Sucursal D,Galletas,2.0,1049.19,2098.38,2023-01-03 05:08:14
Sucursal A,Leche,2.0,962.52,1925-04-01 00:00:00,2023-01-05 01:00:55
Sucursal D,Fideos,1.0,913.67,913.67,2023-01-11 12:45:04
Sucursal A,Atún,5.0,1260.76,6303-08-01 00:00:00,2023-01-01 11:26:04
Sucursal D,Aceite,5.0,2099.74,10498.7,2023-01-06 16:28:23
Sucursal D,Arroz,4.0,1948.36,7793.44,2023-01-12 16:16:28
Sucursal D,Aceite,5.0,1826.0,9130.0,2023-01-03 08:54:10
Sucursal A,Arroz,4.0,1154.71,4618.84,2023-01-12 08:52:53
Sucursal D,Arroz,1.0,1440.61,1440.61,2023-01-14 10:14:03
Sucursal A,Atún,,2008.47,2008.47,2023-01-07 08:03:10
Sucursal B,Fideos,1.0,1627.94,1627.94,2023-01-06 14:58:24
